Using TensorFlow backend.
episode: 0/100000 -> -117  	 slope: 0.000000	 epsilon: 1.000000
2019-04-13 16:22:44.784661: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2019-04-13 16:22:44.888321: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:964] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-04-13 16:22:44.888744: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.607
pciBusID: 0000:01:00.0
totalMemory: 10.91GiB freeMemory: 10.70GiB
2019-04-13 16:22:44.888754: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2019-04-13 16:22:45.152422: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-04-13 16:22:45.152448: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2019-04-13 16:22:45.152453: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2019-04-13 16:22:45.152705: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 10346 MB memory) -> physical GPU (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
checkpoint
episode: 106/100000 -> -93  	 slope: -0.362839	 epsilon: 1.000000
episode: 107/100000 -> 0  	 slope: -0.361667	 epsilon: 1.000000
episode: 108/100000 -> 1  	 slope: -0.314971	 epsilon: 1.000000
episode: 109/100000 -> -107  	 slope: -0.269686	 epsilon: 1.000000
episode: 110/100000 -> 0  	 slope: -0.278242	 epsilon: 1.000000
episode: 111/100000 -> -2  	 slope: -0.235705	 epsilon: 1.000000
episode: 112/100000 -> -1  	 slope: -0.196737	 epsilon: 1.000000
episode: 113/100000 -> 0  	 slope: -0.159391	 epsilon: 1.000000
episode: 114/100000 -> -2  	 slope: -0.123312	 epsilon: 1.000000
episode: 115/100000 -> -116  	 slope: -0.089944	 epsilon: 1.000000
episode: 116/100000 -> -2  	 slope: -0.106592	 epsilon: 1.000000
episode: 117/100000 -> -2  	 slope: -0.074699	 epsilon: 1.000000
episode: 118/100000 -> -19  	 slope: -0.044122	 epsilon: 1.000000
episode: 119/100000 -> -111  	 slope: -0.022248	 epsilon: 1.000000
episode: 120/100000 -> -102  	 slope: -0.038188	 epsilon: 1.000000
episode: 121/100000 -> -96  	 slope: -0.049525	 epsilon: 1.000000
episode: 122/100000 -> -113  	 slope: -0.058276	 epsilon: 1.000000
episode: 123/100000 -> -5  	 slope: -0.073017	 epsilon: 1.000000
episode: 124/100000 -> -113  	 slope: -0.046599	 epsilon: 1.000000
episode: 125/100000 -> -96  	 slope: -0.061119	 epsilon: 1.000000
episode: 126/100000 -> -115  	 slope: -0.068722	 epsilon: 1.000000
episode: 127/100000 -> -96  	 slope: -0.082821	 epsilon: 1.000000
episode: 128/100000 -> -4  	 slope: -0.089617	 epsilon: 1.000000
episode: 129/100000 -> -112  	 slope: -0.063975	 epsilon: 1.000000
episode: 130/100000 -> -114  	 slope: -0.076357	 epsilon: 1.000000
episode: 131/100000 -> 1  	 slope: -0.088825	 epsilon: 1.000000
episode: 132/100000 -> -118  	 slope: -0.062367	 epsilon: 1.000000
episode: 133/100000 -> -116  	 slope: -0.076194	 epsilon: 1.000000
episode: 134/100000 -> -97  	 slope: -0.088794	 epsilon: 1.000000
episode: 135/100000 -> -114  	 slope: -0.094826	 epsilon: 1.000000
episode: 136/100000 -> -112  	 slope: -0.105818	 epsilon: 1.000000
episode: 137/100000 -> -118  	 slope: -0.115861	 epsilon: 1.000000
episode: 138/100000 -> -115  	 slope: -0.127146	 epsilon: 1.000000
episode: 139/100000 -> -2  	 slope: -0.136946	 epsilon: 1.000000
episode: 140/100000 -> -4  	 slope: -0.112898	 epsilon: 1.000000
episode: 141/100000 -> -112  	 slope: -0.090494	 epsilon: 1.000000
episode: 142/100000 -> -114  	 slope: -0.100052	 epsilon: 1.000000
episode: 143/100000 -> -97  	 slope: -0.109671	 epsilon: 1.000000
episode: 144/100000 -> 0  	 slope: -0.114179	 epsilon: 1.000000
episode: 145/100000 -> -98  	 slope: -0.091368	 epsilon: 1.000000
episode: 146/100000 -> -96  	 slope: -0.096542	 epsilon: 1.000000
episode: 147/100000 -> -1  	 slope: -0.100921	 epsilon: 1.000000
episode: 148/100000 -> -112  	 slope: -0.079763	 epsilon: 1.000000
episode: 149/100000 -> -95  	 slope: -0.088443	 epsilon: 1.000000
episode: 150/100000 -> -113  	 slope: -0.092558	 epsilon: 1.000000
episode: 151/100000 -> -116  	 slope: -0.101077	 epsilon: 1.000000
episode: 152/100000 -> -96  	 slope: -0.109787	 epsilon: 1.000000
episode: 153/100000 -> -5  	 slope: -0.113342	 epsilon: 1.000000
episode: 154/100000 -> -118  	 slope: -0.094293	 epsilon: 1.000000
episode: 155/100000 -> -109  	 slope: -0.103407	 epsilon: 1.000000
episode: 156/100000 -> -116  	 slope: -0.110020	 epsilon: 1.000000
episode: 157/100000 -> -2  	 slope: -0.118013	 epsilon: 1.000000
episode: 158/100000 -> -108  	 slope: -0.099160	 epsilon: 1.000000
episode: 159/100000 -> -114  	 slope: -0.105208	 epsilon: 1.000000
episode: 160/100000 -> -114  	 slope: -0.112384	 epsilon: 1.000000
episode: 161/100000 -> 0  	 slope: -0.119345	 epsilon: 1.000000
episode: 162/100000 -> -114  	 slope: -0.100743	 epsilon: 1.000000
episode: 163/100000 -> -5  	 slope: -0.107692	 epsilon: 1.000000
episode: 164/100000 -> -96  	 slope: -0.090742	 epsilon: 1.000000
episode: 165/100000 -> -98  	 slope: -0.093911	 epsilon: 1.000000
episode: 166/100000 -> -113  	 slope: -0.097442	 epsilon: 1.000000
episode: 167/100000 -> -113  	 slope: -0.103885	 epsilon: 1.000000
episode: 168/100000 -> -93  	 slope: -0.110011	 epsilon: 1.000000
episode: 169/100000 -> -98  	 slope: -0.111963	 epsilon: 1.000000
episode: 170/100000 -> -4  	 slope: -0.114849	 epsilon: 1.000000
episode: 171/100000 -> 0  	 slope: -0.098788	 epsilon: 1.000000
episode: 172/100000 -> -108  	 slope: -0.082506	 epsilon: 1.000000
episode: 173/100000 -> -4  	 slope: -0.087835	 epsilon: 1.000000
episode: 174/100000 -> -112  	 slope: -0.072858	 epsilon: 1.000000
episode: 175/100000 -> -114  	 slope: -0.078921	 epsilon: 1.000000
episode: 176/100000 -> -9  	 slope: -0.085169	 epsilon: 1.000000
episode: 177/100000 -> -8  	 slope: -0.071573	 epsilon: 1.000000
episode: 178/100000 -> -7  	 slope: -0.058311	 epsilon: 1.000000
episode: 179/100000 -> -105  	 slope: -0.045256	 epsilon: 1.000000
episode: 180/100000 -> -112  	 slope: -0.050316	 epsilon: 1.000000
episode: 181/100000 -> -112  	 slope: -0.056461	 epsilon: 1.000000
episode: 182/100000 -> -7  	 slope: -0.062310	 epsilon: 1.000000
episode: 183/100000 -> -108  	 slope: -0.049715	 epsilon: 1.000000
episode: 184/100000 -> -99  	 slope: -0.055026	 epsilon: 1.000000
episode: 185/100000 -> -97  	 slope: -0.058556	 epsilon: 1.000000
episode: 186/100000 -> -107  	 slope: -0.061569	 epsilon: 1.000000
episode: 187/100000 -> -112  	 slope: -0.066175	 epsilon: 1.000000
episode: 188/100000 -> -115  	 slope: -0.071528	 epsilon: 1.000000
episode: 189/100000 -> -95  	 slope: -0.077188	 epsilon: 1.000000
episode: 190/100000 -> -99  	 slope: -0.079435	 epsilon: 1.000000
episode: 191/100000 -> -114  	 slope: -0.082216	 epsilon: 1.000000
episode: 192/100000 -> -6  	 slope: -0.087219	 epsilon: 1.000000
episode: 193/100000 -> -106  	 slope: -0.075117	 epsilon: 1.000000
episode: 194/100000 -> -3  	 slope: -0.078990	 epsilon: 1.000000
episode: 195/100000 -> -3  	 slope: -0.066825	 epsilon: 1.000000
episode: 196/100000 -> 0  	 slope: -0.055050	 epsilon: 1.000000
episode: 197/100000 -> -114  	 slope: -0.043007	 epsilon: 1.000000
episode: 198/100000 -> 1  	 slope: -0.048379	 epsilon: 1.000000
episode: 199/100000 -> -4  	 slope: -0.036569	 epsilon: 1.000000
episode: 200/100000 -> -108  	 slope: -0.025877	 epsilon: 1.000000
checkpoint
episode: 201/100000 -> -111  	 slope: -0.030585	 epsilon: 1.000000
episode: 202/100000 -> 0  	 slope: -0.035620	 epsilon: 1.000000
episode: 203/100000 -> 0  	 slope: -0.024684	 epsilon: 1.000000
episode: 204/100000 -> -7  	 slope: -0.013936	 epsilon: 1.000000
episode: 205/100000 -> -118  	 slope: -0.004600	 epsilon: 1.000000
episode: 206/100000 -> -109  	 slope: -0.010833	 epsilon: 1.000000
episode: 207/100000 -> 0  	 slope: -0.015671	 epsilon: 1.000000
episode: 208/100000 -> -2  	 slope: -0.005490	 epsilon: 1.000000
episode: 209/100000 -> -2  	 slope: 0.004030	 epsilon: 1.000000
episode: 210/100000 -> -110  	 slope: 0.013249	 epsilon: 1.000000
